Team Name,Division,Conference,Div,Wins,Loss,Percent,Avg Margin,SOS,SOV,Total Score,Opp Score,Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Played Wins,Played Loss,Forf Wins,Forf Loss,Dbl Forf,Draw
2k9 Boyz,Aftermath,US,AM,26,10,0.722,70.2,0.56,0.522,12652,10546,2106,15,3,11,7,9,4,23,9,20,10,6,0,0,0
Glory Carriers,Aftermath,US,AM,25,13,0.658,51.5,0.585,0.593,12517,10971,1546,14,5,11,8,11,4,21,13,17,13,8,0,0,0
Twintuition,Aftermath,US,AM,24,10,0.706,135.4,0.5,0.482,13634,9842,3792,11,4,13,6,9,5,22,9,20,8,4,2,0,0
Mad Setters,Aftermath,US,AM,1,37,0.026,-355.3,0.571,0.0,1245,3732,-2487,0,19,1,18,0,16,0,34,0,7,1,30,1,0
PG2020,Aftermath,US,AM,18,15,0.545,-63.4,0.572,0.457,9150,10734,-1584,12,4,6,11,7,7,16,14,11,14,7,1,0,0
Double Ds,Ruff Ryders,US,RR,9,26,0.257,-140.6,0.623,0.697,10629,14565,-3936,4,13,5,13,1,13,7,24,2,26,7,0,0,0
Gotham Knights,Ruff Ryders,US,RR,18,16,0.529,-3.4,0.556,0.408,13236,13338,-102,9,8,9,8,9,4,15,15,14,16,4,0,0,0
Jerzeys Finest,Ruff Ryders,US,RR,21,15,0.583,-84.5,0.566,0.494,10557,13092,-2535,10,8,11,7,8,6,19,14,15,15,6,0,0,0
Knuck If You Stuck,Ruff Ryders,US,RR,25,12,0.676,42.1,0.553,0.483,11032,9810,1222,13,7,12,5,11,4,23,10,18,11,7,1,0,0
Miller Time,Ruff Ryders,US,RR,17,19,0.472,-30.2,0.599,0.511,13038,14005,-967,10,9,7,10,6,8,16,16,13,19,4,0,0,0
Chaos Control,State Property,US,SP,26,10,0.722,154.7,0.543,0.517,13851,9211,4640,13,5,13,5,8,5,22,10,20,10,6,0,0,0
House of Minicks,State Property,US,SP,1,34,0.027,-316.4,0.646,0.722,1776,4624,-2848,0,16,1,18,1,15,1,31,1,8,0,26,2,0
PGs Finest,State Property,US,SP,13,23,0.361,-197.7,0.587,0.465,7032,12173,-5141,8,10,5,13,7,7,12,20,8,18,5,5,0,0
TC Tricksters,State Property,US,SP,24,11,0.686,61.1,0.544,0.516,11197,9425,1772,12,5,12,6,8,6,21,11,19,10,5,1,0,0
Team Bui,State Property,US,SP,25,11,0.694,91.1,0.615,0.607,11952,9492,2460,13,6,12,5,12,3,22,10,16,11,9,0,0,0
Call A Spade A Spade,Death Row,THEM,DR,4,31,0.098,-182.8,0.559,0.447,1331,2245,-914,2,17,2,14,1,13,4,27,1,4,3,27,6,0
Kimasha,Death Row,THEM,DR,26,10,0.722,-7.0,0.604,0.6,9430,9597,-167,15,4,11,6,11,3,24,9,14,10,12,0,0,0
Star Studded,Death Row,THEM,DR,29,10,0.744,41.1,0.639,0.601,9669,8724,945,15,5,14,5,12,4,25,10,13,10,16,0,0,0
That Couple,Death Row,THEM,DR,28,10,0.737,61.4,0.621,0.592,10313,8840,1473,15,4,13,6,10,5,25,9,14,10,14,0,0,0
StickemUp,Death Row,THEM,DR,6,28,0.154,-93.2,0.658,0.708,3666,4505,-839,3,14,3,14,2,11,6,24,2,7,4,21,5,0
M2S,No Limit,THEM,NL,26,12,0.684,32.7,0.616,0.554,10039,9221,818,11,9,15,3,10,4,24,10,14,11,12,1,0,0
Team To Beat,No Limit,THEM,NL,26,11,0.703,88.0,0.56,0.489,11199,8910,2289,13,5,13,6,11,4,24,9,16,10,10,1,0,0
Cutting Cuzzins,No Limit,THEM,NL,1,34,0.025,-376.2,0.665,0.0,1076,3333,-2257,1,17,0,17,0,16,1,30,0,6,1,28,5,0
Toshiba Auggie,No Limit,THEM,NL,25,11,0.694,68.9,0.599,0.588,11305,9582,1723,12,5,13,6,10,5,23,10,14,11,11,0,0,0
Us,No Limit,THEM,NL,20,16,0.541,-17.6,0.623,0.535,8412,8782,-370,9,10,11,6,6,8,19,14,10,11,10,5,1,0
Brick City,Roc-A-Fella,THEM,RF,4,29,0.103,103.0,0.648,0.643,2543,1925,618,3,14,1,15,2,11,2,27,4,2,0,27,6,0
Croatias Best,Roc-A-Fella,THEM,RF,5,29,0.125,-68.0,0.704,0.694,813,949,-136,1,13,4,16,2,11,5,25,1,1,4,28,6,0
Gerow Animals,Roc-A-Fella,THEM,RF,25,10,0.714,58.7,0.576,0.569,9636,8287,1349,13,4,12,6,10,5,24,9,13,10,12,0,0,0
Takers,Roc-A-Fella,THEM,RF,17,21,0.447,-213.1,0.563,0.452,6079,11194,-5115,9,10,8,11,9,6,16,18,7,17,10,4,0,0
Dubs,Roc-A-Fella,THEM,RF,23,14,0.622,98.0,0.585,0.46,12471,9826,2645,12,7,11,7,12,2,21,12,13,14,10,0,0,0
